title,genre,year,score,salesPoint,posterUrl
신원 미상의 여자,"스릴러, 범죄",2026,5.5,45369,https://image.tmdb.org/t/p/w500/diKhdwtx2Ij3Qx2bnYIcSLT0EKT.jpg
스파이더맨: 브랜드 뉴 데이,"SF, 액션, 모험",2026,0.0,45050,https://image.tmdb.org/t/p/w500/78eMFkcvlPcfWCe1GNgNiBpFIDz.jpg
Kesong Puti,드라마,2026,4.0,44406,https://image.tmdb.org/t/p/w500/8zYU8hlKR5111IToxXvv5575tZG.jpg
해리 포터와 마법사의 돌,"모험, 판타지",2001,7.9,43632,https://image.tmdb.org/t/p/w500/8YaP48tVfngbURGldWk1I5odsBK.jpg
님포매니악: 볼륨 2,"드라마, 미스터리",2013,6.7,43626,https://image.tmdb.org/t/p/w500/tsYCG9yLRr7p2ZBqtCe3162cT4n.jpg
크라임 101,"범죄, 스릴러",2026,7.0,43353,https://image.tmdb.org/t/p/w500/77ggpowGO0ORQY9x33NeBIPajm1.jpg
직장상사 길들이기,"공포, 스릴러, 코미디",2026,7.1,43148,https://image.tmdb.org/t/p/w500/kpOHAiCiIBa0yPtOqSp99NxhwUF.jpg
Governor,"드라마, 스릴러",2026,6.0,43064,https://image.tmdb.org/t/p/w500/g0GjFVz4u5wDU8d6r7HySuduCZE.jpg
친애하는 나의 킬러,"액션, 드라마, 로맨스",2026,8.7,42378,https://image.tmdb.org/t/p/w500/70bLedAueeJXOEVqXnNToj8zLvy.jpg
아이언 렁,"공포, 미스터리, SF",2026,7.0,42139,https://image.tmdb.org/t/p/w500/sIwakdbMGS1krtgendTWpxTY9Hw.jpg
사망유희,"드라마, 액션, 스릴러",1978,6.4,41799,https://image.tmdb.org/t/p/w500/skPlqRoNG7bfV6ABoE8KLFr6j0P.jpg
대부,"드라마, 범죄",1972,8.7,41164,https://image.tmdb.org/t/p/w500/1yvBkSv4ZLS1GohlmMDmdpSgfYo.jpg
다크 나이트,"액션, 범죄, 스릴러",2008,8.5,40915,https://image.tmdb.org/t/p/w500/9ICUbdveP56jRoMMVkXSOr3ceyV.jpg
더 라스트 스탠드 오브 엘런 콜,"액션, 모험",2024,7.9,40889,https://image.tmdb.org/t/p/w500/oq1pGVQ2t3Cy4v7sA4LRhNjtZuJ.jpg
악마는 프라다를 입는다 2,"코미디, 드라마",2026,6.6,40844,https://image.tmdb.org/t/p/w500/28A1VUDML1RzENYNtIU1WkBLT9V.jpg
제로 우먼 2,"액션, 스릴러",1995,5.0,40813,https://image.tmdb.org/t/p/w500/z9XSICETB0XWQRyMWpN2s3bAUlz.jpg
레디 오어 낫: 죽음의 숨바꼭질,"스릴러, 공포, 코미디",2026,7.7,40497,https://image.tmdb.org/t/p/w500/9XMwsbof7HoOiNxEahreQay3pXs.jpg
반지의 제왕: 왕의 귀환,"모험, 판타지, 액션",2003,8.5,40391,https://image.tmdb.org/t/p/w500/n8BPIRqvj1SdTRND828ANXhmSng.jpg
아포칼립토,"액션, 드라마, 역사",2006,7.6,40212,https://image.tmdb.org/t/p/w500/mAFf4oW3XiH4IlFJw6dgwNnEPhg.jpg
