"coverUrl","title","artist","year","score","category","genre","salesPoint"
"https://image.aladin.co.kr/product/39078/89/cover500/k942137951_1.jpg","우월한 열등감 - 비교와 불안의 시대, 단단한 사람으로 성장하는 자존감 교육","알프레드 아들러 (지은이), 김경일 (옮긴이)","2026","5.0","book","인문","6630"
"https://image.aladin.co.kr/product/36844/27/cover500/k742030204_1.jpg","다크 심리학","다크 사이드 프로젝트 (지은이)","2025","4.5","book","인문","49357"
"https://image.aladin.co.kr/product/39408/51/cover500/k922139090_1.jpg","위버멘쉬","프리드리히 니체 (지은이), 어나니머스 (옮긴이)","2026","4.5","book","인문","142484"
"https://image.aladin.co.kr/product/38948/6/cover500/k952137119_1.jpg","뉴필로소퍼 2026 34호 - Vol 34 : 관찰은 힘이 세다","뉴필로소퍼 편집부 (엮은이)","2026","0.0","book","인문","14160"
"https://image.aladin.co.kr/product/39094/29/cover500/8936481282_1.jpg","일리아스 좋아하세요? - 어느 덕후와 교수의 고전 교환독서","하길(석민주), 이준석 (지은이)","2026","4.5","book","인문","24920"
"https://image.aladin.co.kr/product/39408/51/cover500/k922139090_1.jpg","위버멘쉬 - 누구의 시선도 아닌, 내 의지대로 살겠다는 선언","프리드리히 니체 (지은이), 어나니머스 (옮긴이)","2025","4.5","book","인문","137884"
"https://image.aladin.co.kr/product/38961/3/cover500/k332137317_2.jpg","감각의 주술 - 닿지 않은 채로 이미 닿아 있는 세계에 관하여","데이비드 에이브럼 (지은이), 장상미 (옮긴이)","2026","5.0","book","인문","9350"
"https://image.aladin.co.kr/product/31815/57/cover500/k672833419_1.jpg","여덟 단어 - 인생을 대하는 우리의 자세","박웅현 (지은이)","2023","4.5","book","인문","37542"
"https://image.aladin.co.kr/product/38224/38/cover500/8936812629_1.jpg","빅터 프랭클의 죽음의 수용소에서 - 한국어판 발매 20주년 기념판","빅터 프랭클 (지은이), 이시형 (옮긴이)","2026","4.5","book","인문","26836"
"https://image.aladin.co.kr/product/38989/10/cover500/k482137414_1.jpg","최소한의 삼국지 (10만 부 기념 도원결의 에디션) - 최태성의 삼국지 고전 특강","최태성 (지은이), 이성원 (감수)","2025","5.0","book","인문","104649"
"https://image.aladin.co.kr/product/38459/20/cover500/k062135812_1.jpg","명상록 - 삶과 죽음을 고뇌한 어느 철학자 황제의 가장 사적인 기록","마르쿠스 아우렐리우스 (지은이), 정미화 (옮긴이), 그레고리 헤이스 (해제)","2026","5.0","book","인문","13243"
"https://image.aladin.co.kr/product/38879/19/cover500/k272137204_2.jpg","김경일의 마음 트래킹 - 모순덩어리 한국인을 이해하는 심리 열쇠","김경일 (지은이)","2026","5.0","book","인문","9860"
"https://image.aladin.co.kr/product/33973/70/cover500/k682930444_1.jpg","초역 부처의 말 - 2500년 동안 사랑받은","코이케 류노스케 (지은이), 박재현 (옮긴이)","2024","4.0","book","인문","111798"
"https://image.aladin.co.kr/product/39121/74/cover500/k102137459_2.jpg","아파트는 어떻게 마을이 되었나 - 공동체 아파트의 발명","위스테이별내 마을작가단 (지은이)","2026","0.0","book","사회","6545"
"https://image.aladin.co.kr/product/39061/33/cover500/k852137647_1.jpg","손절사회 - 손익계산이 되어버린 인간관계, 연결 불가능성의 시대에 관한 탐구","이승연 (지은이)","2026","4.5","book","사회","17180"
"https://image.aladin.co.kr/product/39262/41/cover500/k542138404_1.jpg","탁월한 피해자 - 스토킹과 사법 정의에 대한 어느 기자의 기록","곽아람 (지은이)","2026","5.0","book","사회","6530"
"https://image.aladin.co.kr/product/39164/91/cover500/k982138963_3.jpg","기계가 언어를 사용한다는 것에 대한 인문학적 사유 - LLM 인공지능이 생성하는 글과 말을 어떻게 바라볼 것인가","마크 코켈버그, 데이비드 J. 건컬 (지은이), 신동숙 (옮긴이), 손화철 (감수)","2026","0.0","book","사회","9375"
"https://image.aladin.co.kr/product/31424/4/cover500/k482832219_1.jpg","사피엔스 - 유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수)","2023","4.5","book","사회","139403"
"https://image.aladin.co.kr/product/39370/42/cover500/k072139669_1.jpg","깨끗한 죽음이라는 환상 - 고통 없이, 내 뜻대로, 존엄하게 죽는 일은 가능한가","박혜윤, 신성준, 최은경 (지은이)","2026","5.0","book","사회","5540"
"https://image.aladin.co.kr/product/38384/33/cover200/k572135461_1.jpg","일본 광고 카피 도감","오하림 (지은이)","2026","4.5","book","사회","46947"
"https://image.aladin.co.kr/product/39223/19/cover500/k272138984_1.jpg","가족 해방","에이먼 돌런 (지은이), 김은지 (옮긴이)","2026","5.0","book","사회","6960"
"https://image.aladin.co.kr/product/39146/11/cover500/8936481274_1.jpg","가짜 환자 - 환자 만들어내는 사회에서 지혜롭게 건강 지키는 법","김현아 (지은이)","2026","4.5","book","사회","8025"
"https://image.aladin.co.kr/product/24943/22/cover500/k032632692_2.jpg","초판본 군주론 - 오리지널 초판본 표지디자인","니콜로 마키아벨리 (지은이), 이시연 (옮긴이)","2020","5.0","book","사회","22234"
"https://image.aladin.co.kr/product/31629/43/cover500/8934942460_1.jpg","총 균 쇠 - 인간 사회의 운명을 바꾼 힘","재레드 다이아몬드 (지은이), 강주헌 (옮긴이)","2023","4.5","book","사회","50238"
"https://image.aladin.co.kr/product/39095/1/cover500/k632137156_2.jpg","완벽한 피해자 - 팔레스타인인이라는 존재","모함메드 엘쿠르드 (지은이), 박종주 (옮긴이)","2026","5.0","book","사회","6560"
"https://image.aladin.co.kr/product/38888/90/cover500/k752137406_2.jpg","가족이라는 사치 - 가족을 이루는 삶이 특별해진 시대의 가족","진미정 (지은이)","2026","5.0","book","사회","8465"
"https://image.aladin.co.kr/product/39246/91/cover500/k602138200_1.jpg","읽기의 위기 - AI 시대, 누가 읽고 쓰는가?","크리스토프 엥게만 (지은이), 김인건 (옮긴이)","2026","5.0","book","사회","5250"
"https://image.aladin.co.kr/product/36659/88/cover500/8962626608_1.jpg","먼저 온 미래 - AI 이후의 세계를 경험한 사람들","장강명 (지은이)","2025","4.5","book","사회","52300"
"https://image.aladin.co.kr/product/38466/75/cover500/k842135919_1.jpg","필연적 혼자의 시대","김수영 (지은이)","2026","4.5","book","사회","21284"
"https://image.aladin.co.kr/product/38522/90/cover500/k402135233_1.jpg","현대 중동의 이해","인남식 (지은이)","2026","5.0","book","사회","5749"
"https://image.aladin.co.kr/product/39352/95/cover500/k132138536_1.jpg","광장 비판 - 민주주의에 대해 우리가 말하지 않는 것","조형근, 천정환, 연혜원, 안희제, 홍명교, 정고은 (지은이)","2026","0.0","book","사회","2900"
"https://image.aladin.co.kr/product/39291/28/cover500/k222138600_1.jpg","제로 포인트 - 그저 행동만 할 수는 없다. 우리는 올바른 말을 해야 한다","슬라보예 지젝 (지은이), 이혜진 (옮긴이), 배세진 (해제)","2026","4.5","book","사회","3780"
"https://image.aladin.co.kr/product/39356/90/cover500/k182138634_1.jpg","불멸의 설계자들 - 트랜스휴머니즘에서 바이오해킹까지, 실리콘밸리 영생 프로젝트를 추적하다","알렉스 크로토스키 (지은이), 최정숙 (옮긴이)","2026","5.0","book","사회","2620"
"https://image.aladin.co.kr/product/33339/55/cover150/k752938709_1.jpg","다시 만난 세계","김희교 (지은이)","2026","0.0","book","사회","2620"
"https://image.aladin.co.kr/product/39408/57/cover500/k142139090_1.jpg","난민의 사도 바울 - 거부된 자들의 정치적 리얼리즘","김진호 (지은이)","2026","0.0","book","사회","1600"
"https://image.aladin.co.kr/product/38490/90/cover500/k882135115_1.jpg","쾌적한 사회의 불쾌함 - 건강하고 청결하며 질서 정연한 사회에서 우리는 왜 병들어가는가","구마시로 도루 (지은이), 이정미 (옮긴이)","2026","4.5","book","사회","20313"
"https://image.aladin.co.kr/product/38894/55/cover500/8993178372_1.jpg","지도로 보아야 보인다 2 - 지금의 세계는, 다가올 세상은 해협과 바닷길이 새로운 지정학적 격전지가 된다","에밀리 오브리, 프랭크 테타르, 토마 앙사르 (지은이), 이수진 (옮긴이)","2026","4.0","book","사회","11205"
"https://image.aladin.co.kr/product/4898/84/cover500/s812035947_1.jpg","정의란 무엇인가 - 한국 200만 부 돌파, 37개국에서 출간된 세계적 베스트셀러","마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수)","2014","4.5","book","사회","61101"
"https://image.aladin.co.kr/product/38389/4/cover500/8972972002_2.jpg","쇳돌 - 사라지는 세계, 사라지는 노동, 사라지는 목소리를 채굴하기","이라영 (지은이)","2026","5.0","book","사회","9854"
"https://image.aladin.co.kr/product/38950/61/cover500/k362137117_1.jpg","극우가 온다","정민철 (지은이)","2026","4.5","book","사회","5720"
"https://image.aladin.co.kr/product/87/9/cover500/s412032094_1.jpg","코스모스 - 특별판","칼 세이건 (지은이), 홍승수 (옮긴이)","2006","4.5","book","과학","169264"
